lambda,coverage,predicate,p_mape,risk_1,risk_2,smape,
1,1,ER,,0.068801768,0,0.103654112,0.157
1,2,ER,,0.065929736,0,0.115632131,0.157
2,1,ER,,0.041371053,0,0.173850496,0.157
2,2,ER,,0.039018609,0,0.193403119,0.157
3,1,ER,,0.029240924,0,0.22393202,0.157
3,2,ER,,0.028175008,0,0.254077341,0.157
1,1,R,,0.048716685,0,0.063288249,0.094
1,2,R,,0.046718008,0,0.068730947,0.094
2,1,R,,0.033038511,0,0.115618064,0.094
2,2,R,,0.030943737,0,0.11948372,0.094
3,1,R,,0.026407792,0,0.154211799,0.094
3,2,R,,0.02451927,0,0.153728842,0.094
1,1,VER,0.093149596,0.080435161,0,0.087903063,0.167
1,2,VER,0.488918614,0.078067758,0,0.09892366,0.167
2,1,VER,0.165162492,0.050122814,0,0.150273139,0.167
2,2,VER,1.74883854,0.048088776,0,0.173593794,0.167
3,1,VER,0.357112906,0.035466014,0,0.196011194,0.167
3,2,VER,4.033453615,0.034467426,0,0.233287006,0.167
