lambda,coverage,predicate,p_mape,risk_1,risk_2,smape
1,1,VER,0.093,0.080,0.000,0.088
1,1,ER,0.093,0.065,0.000,0.119
1,1,R,0.093,0.043,0.000,0.115
2,1,VER,0.165,0.050,0.000,0.150
2,1,ER,0.165,0.037,0.000,0.197
2,1,R,0.165,0.026,0.000,0.197
3,1,VER,0.357,0.035,0.000,0.196
3,1,ER,0.357,0.025,0.000,0.250
3,1,R,0.357,0.020,0.000,0.253
1,2,VER,0.489,0.078,0.000,0.099
1,2,ER,0.489,0.062,0.000,0.133
1,2,R,0.489,0.041,0.000,0.130
2,2,VER,1.749,0.048,0.000,0.174
2,2,ER,1.749,0.035,0.000,0.218
2,2,R,1.749,0.025,0.000,0.209
3,2,VER,4.033,0.034,0.000,0.233
3,2,ER,4.033,0.024,0.000,0.280
3,2,R,4.033,0.018,0.000,0.260
